NAME,ADDRESS,CITY,STATE,COUNTY
KELLAR PRIMARY SCHOOL,6413 MT HAWLEY RD,PEORIA,IL,PEORIA
FRANKLIN PRIMARY SCHOOL,807 W COLUMBIA TER,PEORIA,IL,PEORIA
PLEASANT VALLEY MIDDLE SCHOOL,3314 W RICHWOODS BVD,PEORIA,IL,PEORIA
ROLLING ACRES MIDDLE SCHOOL,5617 N MERRIMAC AVE,PEORIA,IL,PEORIA
KNOXVILLE CNTR STUDENT SUCCESS,2628 N KNOXVILLE AVE,PEORIA,IL,PEORIA
PEORIA CTY JVNL DET CTR 6-8,223 N MAXWELL RD,PEORIA,IL,PEORIA
CALVIN COOLIDGE MIDDLE SCHOOL,2708 W ROHMANN AVE,WEST PEORIA,IL,PEORIA
FARMINGTON CENTRAL HIGH SCH,310 N LIGHTFOOT RD,FARMINGTON,IL,PEORIA
QUEST CHARTER SCHOOL ACADEMY,2503 N UNIVERSITY,PEORIA,IL,PEORIA
CHILLICOTHE JR HIGH,914 W TRUITT AVE,CHILLICOTHE,IL,PEORIA
WOODROW WILSON PRIMARY SCHOOL,1907 W FORREST HILL,PEORIA,IL,PEORIA
GREELEY ALTERNATIVE SCHOOL,1800 NE PERRY AVE,PEORIA,IL,PEORIA
WILDER-WAITE GRADE SCHOOL,10021 N PACIFIC ST,PEORIA,IL,PEORIA
HOLLIS CONSOLIDATED GRADE SCH,5613 W TUSCARORA RD,PEORIA,IL,PEORIA
MOSSVILLE JR HIGH,PO BOX 178,MOSSVILLE,IL,PEORIA
BARTONVILLE ELEM SCHOOL,6000 S ADAMS ST,BARTONVILLE,IL,PEORIA
DUNLAP HIGH SCHOOL,PO BOX 365,DUNLAP,IL,PEORIA
DUNLAP MIDDLE SCHOOL,PO BOX 366,DUNLAP,IL,PEORIA
ROOSEVELT MAGNET SCHOOL,1704 W AIKEN AVE,PEORIA,IL,PEORIA
BRIMFIELD HIGH SCHOOL,PO BOX 380,BRIMFIELD,IL,PEORIA
FARMINGTON CENTRAL ELEM SCH,108 N LIGHTFOOT RD,FARMINGTON,IL,PEORIA
MONROE ELEM SCHOOL,5137 W CISNA RD,BARTONVILLE,IL,PEORIA
NORWOOD PRIMARY SCHOOL,200 S MAIN ST,PEORIA,IL,PEORIA
PLEASANT VALLEY MIDDLE SCHOOL,3314 W RICHWOODS,PEORIA,IL,PEORIA
WHITTIER PRIMARY SCHOOL,1619 W FREDONIA AVE,PEORIA,IL,PEORIA
DUNLAP GRADE SCHOOL,PO BOX 367,DUNLAP,IL,PEORIA
SOUTH ELEMENTARY SCHOOL,616 W HICKORY ST,CHILLICOTHE,IL,PEORIA
CHARLES A LINDBERGH MIDDLE SCHOOL,6327 N SHERIDAN RD,PEORIA,IL,PEORIA
OAK GROVE WEST SCHOOL,6018 W LANCASTER RD,PEORIA,IL,PEORIA
ILLINI BLUFFS MIDDLE SCHOOL,9611 HANA CTY GLSFRD,GLASFORD,IL,PEORIA
