NAME,ADDRESS,CITY,STATE,COUNTY
ALDEN-HEBRON HIGH SCHOOL,9604 ILLINOIS ST,HEBRON,IL,MCHENRY
ARC,747 W LAFAYETTE AVE,JACKSONVILLE,IL,MORGAN
CHRISMONT SAFE SCHOOL,316 E SOUTH ST,NOKOMIS,IL,MONTGOMERY
SPRING GARDEN MIDDLE SCHOOL,PO BOX 129,INA,IL,JEFFERSON
GLENWOOD ELEM SCH & ACADEMY,1525 BLOOMINGDALE RD,GLENDALE HEIGHTS,IL,DUPAGE
BROKAW EARLY LEARNING CENTER,1000 5TH ST,OSWEGO,IL,KENDALL
CIRCUIT BREAKER SCHOOL,2233 6TH ST STE 1,PERU,IL,LASALLE
GENOA-KINGSTON MIDDLE SCHOOL,941 W MAIN ST,GENOA,IL,DEKALB
WHITESIDE MIDDLE SCHOOL,111 WARRIOR WAY,BELLEVILLE,IL,ST. CLAIR
ALCOTT HUMANITIES HIGH SCHOOL,2957 N HOYNE AVE,CHICAGO,IL,COOK
COBDEN ELEM SCHOOL,413 N APPLEKNOCKER,COBDEN,IL,UNION
GOSHEN ELEMENTARY,101 DISTRICT DR,EDWARDSVILLE,IL,MADISON
WILLOWBROOK HIGH SCHOOL,1250 S ARDMORE AVE,VILLA PARK,IL,DUPAGE
BARACK OBAMA SCH OF LDERSHIP,401 CONCORD DR,CHICAGO HEIGHTS,IL,COOK
VICTOR J ANDREW HIGH SCHOOL,9001 171ST ST,ORLAND HILLS,IL,COOK
ILLINOIS YOUTH CENTER-WARRENVILLE,PO BOX 828,WARRENVILLE,IL,DUPAGE
ROYALS ACADEMY CANTON,23235 N CNTY HWY 22,CANTON,IL,FULTON
MT VERNON ALTERNATIVE SCHOOL,2300 BENTON RD,MOUNT VERNON,IL,JEFFERSON
STARQUEST ACAD RSSP SOUTH,1102 W 10TH ST,METROPOLIS,IL,MASSAC
ROYALS RSSP CANTON,749 E LOCUST ST,CANTON,IL,FULTON
SUCCESS ACADEMY,1720 N RANDALL RD,AURORA,IL,KANE
MORRISON ALT LEARNING PROGRAM,300 ACADEMIC DR,MORRISON,IL,WHITESIDE
SALT CREEK ACADEMY,30819 FANCY PR AVE,ATHENS,IL,MENARD
JOURNEYS SOUTH,101 SCHOOL ST,BETHALTO,IL,MADISON
WEBBER HIGH SCHOOL,PO BOX 110,BLUFORD,IL,JEFFERSON
SALT FORK SOUTH ELEMENTARY SCHOOL,7087 N 600 EAST RD,SIDELL,IL,VERMILION
SALT FORK JUNIOR HIGH SCHOOL,7087 N 600 EAST RD,SIDELL,IL,VERMILION
SALT FORK HIGH SCHOOL,701 W VERMILION ST,CATLIN,IL,VERMILION
WASHINGTON SCHOOL,400 S CHARLES ST,BELLEVILLE,IL,ST. CLAIR
GLADNESS V PLAYER ECC,8600 S ROBERTS RD,JUSTICE,IL,COOK
MOVING EVEREST CHARTER SCHOOL,416 N LARAMIE AVE,CHICAGO,IL,COOK
HARMONY INTERMEDIATE CENTER,7401 WESTCHESTER DR,BELLEVILLE,IL,ST. CLAIR
WASHINGTON ELEM SCHOOL,305 S HUTCHINSON ST,HARVARD,IL,MCHENRY
UNITY MIDDLE SCHOOL,PO BOX 200,MENDON,IL,ADAMS
NEOGA EARLY CHILDHOOD CENTER,PO BOX 310,NEOGA,IL,CUMBERLAND
CHERRY HILL ELEM AND EC CENTER,205 KINGSTON DR,NEW LENOX,IL,WILL
REAGAN PRE-K SCHOOL,400 N GALENA ST,TISKILWA,IL,BUREAU
PALS,205 W B ST,BELLEVILLE,IL,ST. CLAIR
JAMIESON ELEM SCHOOL,5650 N MOZART ST,CHICAGO,IL,COOK
