NCESID,NAME,ADDRESS,CITY,STATE,COUNTY
A0507274,A CHILD'S GARDEN,20 IVY BROOK RD,SHELTON,CT,FAIRFIELD
A0500844,BRIDGEPORT INTERNATIONAL ACADEMY,285 LAFAYETTE ST STE 200,BRIDGEPORT,CT,FAIRFIELD
A0108054,CARMEL ACADMEY,270 LAKE AVE,GREENWICH,CT,FAIRFIELD
A0507283,COUNTRY KIDS CLUB,94 OLD STATE RD,BROOKFIELD,CT,FAIRFIELD
1612613,EAGLE HILL SCHOOL,45 GLENVILLE RD,GREENWICH,CT,FAIRFIELD
A0101544,EASTON COUNTRY DAY SCHOOL,660 MOREHOUSE RD,EASTON,CT,FAIRFIELD
A0300688,FAIRFIELD COUNTY SDA SCHOOL,827 TRUMBULL AVE,BRIDGEPORT,CT,FAIRFIELD
AA001061,FRASER WOODS MONTESSORI SCHOOL,173 S MAIN ST,NEWTOWN,CT,FAIRFIELD
A0101480,GIANT STEPS CONNECTICUT,309 BARBERRY RD,SOUTHPORT,CT,FAIRFIELD
A9700803,HOUSATONIC VALLEY WALDORF SCHOOL,52 DODGINGTOWN ROAD,NEWTOWN,CT,FAIRFIELD
A0101492,LANDMARK PRESCHOOL,20 PORTLAND AVE,REDDING,CT,FAIRFIELD
A1102137,ABERCORN INTERNATIONAL SCHOOL,601 RANCH ROAD 620 S,LAKEWAY,TX,TRAVIS
A0101488,LANDMARK PRESCHOOL,11 BURR RD,WESTPORT,CT,FAIRFIELD
K9501352,OUR LADY OF GRACE NURSERY SCHOOL & KINDERGARTEN,635 GLENBROOK RD,STAMFORD,CT,FAIRFIELD
A0300699,OUR LADY STAR OF THE SEA SCHOOL,1170 SHIPPAN AVE,STAMFORD,CT,FAIRFIELD
A0500866,PIERREPONT SCHOOL,1 SYLVAN RD N,WESTPORT,CT,FAIRFIELD
A0300703,ST CATHERINE ACADEMY,760 TAHMORE DR,FAIRFIELD,CT,FAIRFIELD
232053,ST JUDE SCHOOL,707 MONROE TPKE,MONROE,CT,FAIRFIELD
A0500873,ST MARY SCHOOL,183 HIGH RIDGE AVE,RIDGEFIELD,CT,FAIRFIELD
231887,ST THERESA SCHOOL,55 ROSEMOND TER,TRUMBULL,CT,FAIRFIELD
A9302601,ST VINCENT'S SPECIAL NEEDS SERVICES,95 MERRITT BLVD,TRUMBULL,CT,FAIRFIELD
K9501384,THE CANAAN RIDGE SCHOOL,2810 LONG RIDGE RD,STAMFORD,CT,FAIRFIELD
A9302564,THE GREENWICH JAPANESE SCHOOL,270 LAKE AVE.,GREENWICH,CT,FAIRFIELD
A0300713,THE STANWICH SCHOOL,257 STANWICH RD,GREENWICH,CT,FAIRFIELD
232009,TRINITY CATHOLIC MIDDLE,948 NEWFIELD AVE,STAMFORD,CT,FAIRFIELD
1601259,VILLA MARIA EDUCATION CENTER,161 SKYMEADOW DR,STAMFORD,CT,FAIRFIELD
1916451,WHITBY SCHOOL,969 LAKE AVE,GREENWICH,CT,FAIRFIELD
232519,WOOSTER SCHOOL,91 MIRY BROOK RD,DANBURY,CT,FAIRFIELD
A1171721,LITTLE WONDERS OF BAYBROOK BAPTIST,15775 HOPE VILLAGE RD,FRIENDSWOOD,TX,HARRIS
A1303425,LLANO CHRISTIAN ACADEMY,904 BERRY STREET,LLANO,TX,LLANO
A1303426,LOGOS PREPARATORY SCHOOL,13303 SOUTHWEST FWY,SUGAR LAND,TX,FORT BEND
BB130499,MACEDONIAN CHRISTIAN ACADEMY,401 N VAL VERDE RD,DONNA,TX,HIDALGO
A1303428,MAINLAND CHRISTIAN ACADEMY INC.,3210 GULF FWY,TEXAS CITY,TX,GALVESTON
A1303429,MARBLE FALLS FIRST BAPTIST CHRISTIAN SCHOOL,501 12TH ST,MARBLE FALLS,TX,BURNET
A1503746,MASTERPIECE BILINGUAL ACADEMY,3202 RODD FIELD RD,CORPUS CHRISTI,TX,NUECES
A1503749,MESORAH HIGH SCHOOL FOR GIRLS,12712 PARK CENTRAL DRIVE,DALLAS,TX,DALLAS
A1390344,MIDLAND CLASSICAL ACADEMY,5711 WHITMAN DR,MIDLAND,TX,MIDLAND
BB141000,MONTESSORI COUNTRY DAY SCHOOL,5117 LA BRANCH ST,HOUSTON,TX,HARRIS
A1303436,MONTESSORI SCHOOL OF SUGAR LAND,4502 AUSTIN PKWY,SUGAR LAND,TX,FORT BEND
A1503751,MORNING STAR ACADEMY,1510 W. FM 898,BONHAM,TX,FANNIN
A1390345,MOSAIC ACADEMY,1400 COLLEGE AVE,FORT WORTH,TX,TARRANT
232042,ALL SAINTS CATHOLIC SCHOOL,139 W ROCKS RD,NORWALK,CT,FAIRFIELD
233942,AMERICAN SCHOOL FOR THE DEAF,139 N MAIN ST,WEST HARTFORD,CT,HARTFORD
233148,BRUNSWICK SCHOOL,100 MAHER AVE,GREENWICH,CT,FAIRFIELD
231683,CATHOLIC ACADEMY OF BRIDGEPORT/ST RAPHAEL ACADEMY,324 FRANK ST,BRIDGEPORT,CT,FAIRFIELD
A9300233,CHRISTIAN HERITAGE SCHOOL,575 WHITE PLAINS RD,TRUMBULL,CT,FAIRFIELD
K9301138,CHRISTIAN LIFE ACADEMY,133 JUNCTION RD,BROOKFIELD,CT,FAIRFIELD
A9302549,EAGLE HILL - SOUTHPORT,214 MAIN ST,SOUTHPORT,CT,FAIRFIELD
232144,FAIRFIELD COLLEGE PREPARATORY,1073 N BENSON RD,FAIRFIELD,CT,FAIRFIELD
233308,FAIRFIELD COUNTRY DAY SCHOOL,2970 BRONSON RD,FAIRFIELD,CT,FAIRFIELD
A9900933,GREAT BEGINNINGS MONTESSORI SCHOOL,148 BEACH RD,FAIRFIELD,CT,FAIRFIELD
233192,GREENS FARMS ACADEMY,35 BEACHSIDE AVENUE,GREENS FARMS,CT,FAIRFIELD
232097,GREENWICH CATHOLIC SCHOOL,471 NORTH ST,GREENWICH,CT,FAIRFIELD
A9700804,HUDSON COUNTRY MONTESSORI SCHOOL,44A SHELTER ROCK RD,DANBURY,CT,FAIRFIELD
231661,IMMACULATE HIGH SCHOOL,73 SOUTHERN BLVD,DANBURY,CT,FAIRFIELD
